Timestamp,Email Address,LAST NAME,FIRST NAME,GRADE ENTERING NEXT YEAR,CURRENT ADVISOR,WOULD YOU LIKE TO HAVE THE SAME ADVISOR NEXT YEAR?,Please rank your advisor preference: [First choice],Please rank your advisor preference: [Second choice],Please rank your advisor preference: [Third choice],Please rank your advisor preference: [Fourth choice],Would you consider having a new teacher as an advisor?,
5/31/2018 8:19:35,bockelboy@icloud.com,Bowen,Pepper,12th Grade,Mrs Manrique ,Yes,Ms. Manrique/Latin American Culture Advisory,Mr. Abel,Ms. Mead/ Snack attack!,Ms. Wheeler,NO,
5/31/2018 8:20:34,hyper@optonline.net,Lee,Zoe,12th Grade,Mr. Mckay,Yes,Mr. McKay,Ms. Manrique/Latin American Culture Advisory,Mr. Abel,Ms. Monfort,YES,
5/31/2018 8:23:27,jfriedl@att.net,Nicholson,Jack,12th Grade,Ms. Singh,No,Mr. Abel,Mrs. Abel,Mr. Bihl,Ms. Agostinelli,YES,
5/31/2018 8:24:51,ganter@att.net,Fuentes,Ace,10th Grade,Mr. Tallman,Yes,Mr. Tallman/Word Games Advisory,Ms. Young/Theatre Advisory,Ms. Manrique/Latin American Culture Advisory,Ms. Mead/ Snack attack!,YES,
5/31/2018 8:37:20,kaiser@me.com,Winters,Sassy,12th Grade,Ms. Raftery ,Yes,Ms. Raftery,Ms. Manrique/Latin American Culture Advisory,Dr. Sampou/Recycling the Right Way,Ms. Mead/ Snack attack!,YES,
5/31/2018 8:37:21,grady@me.com,Sutton,Ellie,12th Grade,Ms Abel ,Yes,Mrs. Abel,Mr. McKay,Mr. Crowell,Mr. Abel,NO,
5/31/2018 9:10:04,hager@live.com,Werner,Penny,11th Grade,Mrs.Abel,Yes,Mrs. Abel,Mr. Crowell,Mr. Abel,Mr. Bundy,NO,
5/31/2018 9:12:46,timlinux@hotmail.com,Allen,Hazel,12th Grade,Ms.young,No,Ms. Strong/ROVers Advisory,Ms. Young/Theatre Advisory,Ms. Newcombe,Ms. Mead/ Snack attack!,NO,
5/31/2018 9:17:03,gmcgath@aol.com,Marks,Lacey,12th Grade,Ms.O'Keefe,No,Dr. Sampou/Recycling the Right Way,Mr. McKay,Ms. Mead/ Snack attack!,Mr. Crowell,NO,
5/31/2018 9:24:20,bsikdar@live.com,Dunlap,Lexi,12th Grade,Newcombe,Yes,Ms. Newcombe,Mr. McKay,Ms. Raftery,Ms. Monfort,NO,
