Timestamp,Email Address,LAST NAME,FIRST NAME,GRADE ENTERING NEXT YEAR,CURRENT ADVISOR,WOULD YOU LIKE TO HAVE THE SAME ADVISOR NEXT YEAR?,Please rank your advisor preference: [First choice],Please rank your advisor preference: [Second choice],Please rank your advisor preference: [Third choice],Please rank your advisor preference: [Fourth choice],Would you consider having a new teacher as an advisor?
5/31/2018 9:20:28,bockelboy@icloud.com,Bowen,Pepper,12th Grade,Bui,No,Pagenkopf - Math is Awesome!,Bostford,Most,Mee,NO
5/31/2018 9:20:37,hyper@optonline.net,Lee,Zoe,12th Grade,Bui,No,Pagenkopf - Math is Awesome!,Most,Mee,Wooton - Bottle Recycling/Current Events,NO
5/31/2018 9:20:59,jfriedl@att.net,Nicholson,Jack,11th Grade,Mrs. Bonilla ,No,"O'Hara McCray - Fun, Food, and Feliz",Pagenkopf - Math is Awesome!,Morrow - Music Appreciation,Kelly,YES
5/31/2018 9:21:44,ganter@att.net,Fuentes,Ace,12th Grade,McCray ,Yes,"O'Hara McCray - Fun, Food, and Feliz",Pagenkopf - Math is Awesome!,Ferguson,Mee,NO
5/31/2018 9:25:31,kaiser@me.com,Winters,Sassy,12th Grade,Rhoads,No,Morrow - Music Appreciation,Singer/Enos - Ultimate Frisbee,Ms. Houston - Gabbing and Games (new teacher!),Beard,NO
5/31/2018 9:25:39,grady@me.com,Sutton,Ellie,11th Grade,Ms.Walts,No,Singer/Enos - Ultimate Frisbee,Weida,Sevits,Pagenkopf - Math is Awesome!,YES
5/31/2018 9:27:19,hager@live.com,Werner,Penny,11th Grade,Mr.Morrow,No,Bostford,Morrow - Music Appreciation,King,Beard,NO
5/31/2018 9:29:35,timlinux@hotmail.com,Allen,Hazel,11th Grade,Walts,No,Pagenkopf - Math is Awesome!,Mr. Houston - All Things International (new teacher!),Moynihan - Nutrition Nuts,Sevits,YES
5/31/2018 9:33:05,gmcgath@aol.com,Marks,Lacey,11th Grade,Botsford,Yes,Bostford,Rais,Sevits,King,NO
5/31/2018 9:34:37,bsikdar@live.com,Dunlap,Lexi,11th Grade,Ms. Walts,No,"O'Hara McCray - Fun, Food, and Feliz",Bostford,Kelly,Most,NO
5/31/2018 9:34:38,larry@icloud.com,Li,Bonnie,11th Grade,Singer,No,"O'Hara McCray - Fun, Food, and Feliz",Ferguson,Kelly,Most,NO
5/31/2018 9:36:14,kourai@yahoo.com,Schwartz,Rufus,12th Grade,Mrs. McCray,Yes,"O'Hara McCray - Fun, Food, and Feliz",Moynihan - Nutrition Nuts,Mee,Tecklenburg/McDowell,NO
5/31/2018 9:38:29,neonatus@optonline.net,Chavez,Samson,12th Grade,Houpert,No,Sevits,Mee,King,Bostford,NO
5/31/2018 9:38:49,dkeeler@icloud.com,Henry,Dexter,11th Grade,Dillon Mee,Yes,Mee,Beard,Bostford,Sevits,NO
5/31/2018 9:39:02,amaranth@msn.com,Jenkins,Ollie,12th Grade,Bonilla/Pace,No,Most,Bonilla,Pace,Mee,NO
5/31/2018 9:39:50,eimear@msn.com,Peters,Zoey,12th Grade,Siaflas ,No,Wooton - Bottle Recycling/Current Events,Sevits,Pagenkopf - Math is Awesome!,Rhoads - Mindfulness,NO
5/31/2018 9:40:34,osaru@yahoo.com,Newman,Nala,12th Grade,Mr. Morrow,No,Rais,Most,King,"O'Hara McCray - Fun, Food, and Feliz",NO
5/31/2018 9:40:36,errxn@mac.com,Preston,Hunter,11th Grade,Ms. Bui,No,Pagenkopf - Math is Awesome!,King,Singer/Enos - Ultimate Frisbee,Wooton - Bottle Recycling/Current Events,NO
5/31/2018 9:40:48,crusader@optonline.net,Hopkins,Henry,10th Grade,Most,No,Milligan - Sententiae Antiguae,Mr. Houston - All Things International (new teacher!),Most,Rais,YES
5/31/2018 9:41:13,vganesh@yahoo.com,Schmitt,Jake,11th Grade,Ms. Racine and Mr. Archer,No,Singer/Enos - Ultimate Frisbee,Churchill - Paper Recycling,Pagenkopf - Math is Awesome!,Wooton - Bottle Recycling/Current Events,NO
5/31/2018 9:41:20,mstrout@live.com,Villanueva,Sadie,11th Grade,Mrs Pacheco,No,Kelley - Big Think,Rhoads - Mindfulness,"O'Hara McCray - Fun, Food, and Feliz",Murphy/Bade- Animal Rights,YES
5/31/2018 9:41:55,tromey@icloud.com,Hicks,Chewy,11th Grade,Martinez,No,"O'Hara McCray - Fun, Food, and Feliz",Churchill - Paper Recycling,Moynihan - Nutrition Nuts,Kelly,YES
5/31/2018 9:42:08,storerm@me.com,Kirk,Dodger,10th Grade,Ms McCray ,Yes,"O'Hara McCray - Fun, Food, and Feliz",Singer/Enos - Ultimate Frisbee,Archer,Forget,NO
5/31/2018 9:42:11,singer@yahoo.com,Porter,Oscar,11th Grade,Pags,Yes,Pagenkopf - Math is Awesome!,Bostford,Singer/Enos - Ultimate Frisbee,Pace,NO
5/31/2018 9:42:13,campware@att.net,Buckley,Chase,11th Grade,Mr. Beard,Yes,Doherty - Knit & DIYs,Beard,Rhoads - Mindfulness,Kelley - Big Think,YES
5/31/2018 9:42:20,rddesign@hotmail.com,Maddox,Harry,12th Grade,Rais/Guibal,Yes,Singer/Enos - Ultimate Frisbee,Most,Bonilla,Kelly,YES
5/31/2018 9:42:23,geekoid@mac.com,Lowe,Copper,10th Grade,McDowell/Richenburg,Yes,Singer/Enos - Ultimate Frisbee,Milligan - Sententiae Antiguae,Bonilla,"O'Hara McCray - Fun, Food, and Feliz",YES
5/31/2018 9:42:37,frederic@hotmail.com,Mays,Duke,10th Grade,Ms. Singer ,Yes,Pacheco - Random Acts of Kindness,Wooton - Bottle Recycling/Current Events,Singer/Enos - Ultimate Frisbee,Bonilla,YES
5/31/2018 9:42:38,crowemojo@outlook.com,Carson,Trixie,11th Grade,Mr. Wooten,No,Singer/Enos - Ultimate Frisbee,Most,Mee,Rais,NO
5/31/2018 9:42:39,nelson@mac.com,Kennedy,Cisco,10th Grade,McDowell/Tecklenburg,No,"O'Hara McCray - Fun, Food, and Feliz",Ms. Houston - Gabbing and Games (new teacher!),Guibal,Rais,YES
5/31/2018 9:42:41,themer@yahoo.com,Rivera,Apollo,12th Grade,Ms. Bui,No,Most,Pagenkopf - Math is Awesome!,Singer/Enos - Ultimate Frisbee,"O'Hara McCray - Fun, Food, and Feliz",NO
5/31/2018 9:42:41,mdielmann@verizon.net,Rosario,Cooper,10th Grade,McDowell/Richenburg,No,Milligan - Sententiae Antiguae,Singer/Enos - Ultimate Frisbee,Ms. Houston - Gabbing and Games (new teacher!),"O'Hara McCray - Fun, Food, and Feliz",YES
5/31/2018 9:42:44,lipeng@sbcglobal.net,Love,Millie,10th Grade,Moynihan,No,Singer/Enos - Ultimate Frisbee,Most,Mee,Rais,NO
5/31/2018 9:42:47,crowl@optonline.net,Copeland,Panda,12th Grade,Bui,No,Bostford,Sevits,King,Kelley - Big Think,YES
5/31/2018 9:42:48,kohlis@hotmail.com,Lawrence,Layla,12th Grade,Moynihan,No,Rais,Mee,King,Most,NO
5/31/2018 9:42:56,eurohack@gmail.com,Reynolds,Sophie,12th Grade,Mrs Pacheco ,No,Ms. Houston - Gabbing and Games (new teacher!),"O'Hara McCray - Fun, Food, and Feliz",Pacheco - Random Acts of Kindness,Singer/Enos - Ultimate Frisbee,YES
5/31/2018 9:42:58,ribet@optonline.net,Hunter,Peanut,10th Grade,Rhoads,No,Morrow - Music Appreciation,Singer/Enos - Ultimate Frisbee,Ms. Houston - Gabbing and Games (new teacher!),Beard,NO
5/31/2018 9:42:59,smeier@me.com,Lang,Sasha,11th Grade,McCray,Yes,"O'Hara McCray - Fun, Food, and Feliz",Mee,Milligan - Sententiae Antiguae,Forget,YES
5/31/2018 9:43:05,ramollin@outlook.com,Melton,Guinness,12th Grade,Pace/Bonilla,No,Sevits,Rais,Archer,Mee,NO
5/31/2018 9:43:08,luvirini@verizon.net,Burch,Heidi,12th Grade,Most ,Yes,Most,King,Moynihan - Nutrition Nuts,Sevits,NO
5/31/2018 9:43:09,purvis@me.com,Ochoa,Milo,10th Grade,McDowell,No,Singer/Enos - Ultimate Frisbee,Bostford,Bonilla,Mee,YES
5/31/2018 9:43:09,conteb@sbcglobal.net,Tate,Baby,11th Grade,Pags ,Yes,Pagenkopf - Math is Awesome!,Forget,Gentile,Moynihan - Nutrition Nuts,NO
5/31/2018 9:43:13,petersen@hotmail.com,Hickman,Macy,10th Grade,teacher john,No,"O'Hara McCray - Fun, Food, and Feliz",Doherty - Knit & DIYs,Bonilla,Weida,YES
5/31/2018 9:43:19,fviegas@hotmail.com,Huff,Scooter,11th Grade,Enos/ Doharty ,No,Doherty - Knit & DIYs,"O'Hara McCray - Fun, Food, and Feliz",Ms. Houston - Gabbing and Games (new teacher!),Bostford,YES
5/31/2018 9:43:24,aegreene@comcast.net,Hamilton,Alex,11th Grade,Ferguson ,No,Singer/Enos - Ultimate Frisbee,Moynihan - Nutrition Nuts,"O'Hara McCray - Fun, Food, and Feliz",Bonilla,YES
5/31/2018 9:43:26,wetter@verizon.net,Pena,Riley,12th Grade,Most,Yes,Most,Sevits,Wooton - Bottle Recycling/Current Events,Pacheco - Random Acts of Kindness,NO
5/31/2018 9:43:32,kronvold@att.net,Briggs,Oakley,11th Grade,Singer,Yes,Singer/Enos - Ultimate Frisbee,Ms. Houston - Gabbing and Games (new teacher!),Mr. Houston - All Things International (new teacher!),King,YES
5/31/2018 9:43:32,ahmad@hotmail.com,Silva,Rudy,10th Grade,Bui,No,"O'Hara McCray - Fun, Food, and Feliz",Kelly,Murphy/Bade- Animal Rights,Bostford,YES
5/31/2018 9:43:33,william@optonline.net,Barry,Minnie,11th Grade,Beard,No,King,Singer/Enos - Ultimate Frisbee,Sevits,Moynihan - Nutrition Nuts,YES
5/31/2018 9:43:34,niknejad@outlook.com,Martin,Angel,10th Grade,Tecklenburg/McDowell,Yes,Bostford,Tecklenburg/McDowell,Bonilla,Guibal,NO
5/31/2018 9:43:36,cparis@mac.com,Saunders,Ginger,10th Grade,Ms. Siaflas,No,Pagenkopf - Math is Awesome!,Morrow - Music Appreciation,Archer,Milligan - Sententiae Antiguae,YES
5/31/2018 9:43:37,kempsonc@yahoo.ca,Richards,Bentley,12th Grade,Mr Beard,No,Bostford,Singer/Enos - Ultimate Frisbee,Bonilla,Sevits,NO
5/31/2018 9:43:37,barnett@me.com,Mcdonald,Cocoa,10th Grade,Mrs. McCray ,Yes,"O'Hara McCray - Fun, Food, and Feliz",Singer/Enos - Ultimate Frisbee,Wooton - Bottle Recycling/Current Events,Bostford,NO
5/31/2018 9:43:40,dhrakar@icloud.com,Waller,Gizmo,12th Grade,Milligan,No,Rais,Singer/Enos - Ultimate Frisbee,Bonilla,"O'Hara McCray - Fun, Food, and Feliz",NO
5/31/2018 9:43:40,srour@yahoo.ca,Simpson,Leo,12th Grade,Churchill ,No,Sevits,"O'Hara McCray - Fun, Food, and Feliz",Singer/Enos - Ultimate Frisbee,Bonilla,NO
5/31/2018 9:43:41,crowemojo@hotmail.com,Moody,Rocky,12th Grade,Ms. King,Yes,King,Bostford,Archer,Mr. McDowell,YES
5/31/2018 9:43:42,ntegrity@icloud.com,Clayton,Murphy,11th Grade,Houpert,No,Sevits,Pace,King,Mee,YES
5/31/2018 9:43:43,ylchang@me.com,Pearson,Zeus,12th Grade,Ms. Ferguson ,No,"O'Hara McCray - Fun, Food, and Feliz",Bonilla,Most,Singer/Enos - Ultimate Frisbee,NO
5/31/2018 9:43:43,juliano@mac.com,Owen,Otis,11th Grade,recine ,No,"O'Hara McCray - Fun, Food, and Feliz",Pacheco - Random Acts of Kindness,Rhoads - Mindfulness,Murphy/Bade- Animal Rights,NO
5/31/2018 9:43:45,amimojo@yahoo.com,Knox,Yoda,10th Grade,Mrs king ,No,"O'Hara McCray - Fun, Food, and Feliz",Bostford,Singer/Enos - Ultimate Frisbee,King,YES
5/31/2018 9:43:45,dpitts@optonline.net,Ayers,Gracie,11th Grade,Tecklenburg/McDowell,No,Most,Pagenkopf - Math is Awesome!,Bonilla,Beard,YES
